SNOMED_concept,mapped_from_concept_id,mapped_from_concept_name,mapped_from_concept_code,mapped_from_vocabulary_id,descendant_omop_concept_ids
"Dementia (52448006, OMOP concept_id: 4182210)",45561711,Juvenile general paresis,A50.45,ICD10CM,[4307791]
"Dementia (52448006, OMOP concept_id: 4182210)",45605207,General paresis,A52.17,ICD10CM,[377788]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",1567597,Malignant neoplasm of brain,C71,ICD10CM,[380055]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206291,"Malignant neoplasm of cerebrum, except lobes and ventricles",C71.0,ICD10CM,[4091490]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206292,Malignant neoplasm of frontal lobe,C71.1,ICD10CM,[441233]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206293,Malignant neoplasm of temporal lobe,C71.2,ICD10CM,[433976]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206294,Malignant neoplasm of parietal lobe,C71.3,ICD10CM,[438086]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206295,Malignant neoplasm of occipital lobe,C71.4,ICD10CM,[432559]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206296,Malignant neoplasm of cerebral ventricle,C71.5,ICD10CM,[432848]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206297,Malignant neoplasm of cerebellum,C71.6,ICD10CM,[433149]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206298,Malignant neoplasm of brain stem,C71.7,ICD10CM,[441806]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206299,Malignant neoplasm of overlapping sites of brain,C71.8,ICD10CM,[4003693]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206300,"Malignant neoplasm of brain, unspecified",C71.9,ICD10CM,[380055]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",1567599,Malignant neoplasm of olfactory nerve,C72.2,ICD10CM,[4114198]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",45595684,Malignant neoplasm of unspecified olfactory nerve,C72.20,ICD10CM,[4114198]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",45542622,Malignant neoplasm of right olfactory nerve,C72.21,ICD10CM,[4114198]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",45547517,Malignant neoplasm of left olfactory nerve,C72.22,ICD10CM,[4114198]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206306,Malignant neoplasm of pituitary gland,C75.1,ICD10CM,[24296]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206307,Malignant neoplasm of craniopharyngeal duct,C75.2,ICD10CM,[442134]
"Malignant neoplasm of brain (428061005, OMOP concept_id: 443588)",35206308,Malignant neoplasm of pineal gland,C75.3,ICD10CM,[26361]
"Dementia (52448006, OMOP concept_id: 4182210)",1568087,Vascular dementia,F01,ICD10CM,[443605]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",1568087,Vascular dementia,F01,ICD10CM,[443605]
"Dementia (52448006, OMOP concept_id: 4182210)",45600683,"Vascular dementia, unspecified severity",F01.5,ICD10CM,[443605]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",45600683,"Vascular dementia, unspecified severity",F01.5,ICD10CM,[443605]
"Dementia (52448006, OMOP concept_id: 4182210)",45591073,"Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F01.50,ICD10CM,[37109056]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",45591073,"Vascular dementia, unspecified severity, without behavioral disturbance, psychotic disturbance, mood disturbance, and anxiety",F01.50,ICD10CM,[37109056]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",45600684,"Vascular dementia, unspecified severity, with behavioral disturbance",F01.51,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",45600684,"Vascular dementia, unspecified severity, with behavioral disturbance",F01.51,ICD10CM,[37018688]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402371,"Vascular dementia, unspecified severity, with agitation",F01.511,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402371,"Vascular dementia, unspecified severity, with agitation",F01.511,ICD10CM,[37018688]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402372,"Vascular dementia, unspecified severity, with other behavioral disturbance",F01.518,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402372,"Vascular dementia, unspecified severity, with other behavioral disturbance",F01.518,ICD10CM,[37018688]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402373,"Vascular dementia, unspecified severity, with psychotic disturbance",F01.52,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402373,"Vascular dementia, unspecified severity, with psychotic disturbance",F01.52,ICD10CM,[37018688]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402374,"Vascular dementia, unspecified severity, with mood disturbance",F01.53,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402374,"Vascular dementia, unspecified severity, with mood disturbance",F01.53,ICD10CM,[37018688]
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402375,"Vascular dementia, unspecified severity, with anxiety",F01.54,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402375,"Vascular dementia, unspecified severity, with anxiety",F01.54,ICD10CM,[37018688]
"Dementia (52448006, OMOP concept_id: 4182210)",37402376,"Vascular dementia, mild",F01.A,ICD10CM,"[443605,762497]"
"Dementia associated with another disease (191519005, OMOP concept_id: 374888)",37402376,"Vascular dementia, mild",F01.A,ICD10CM,[443605]
